date,confirmed,deaths,new_confirmed,new_deaths,new_confirmed_7dma,new_deaths_7dma,cfr
2020-02-20,76216,2250,561,125,2261.7142857142853,125.28571428571428,0.029521360344284663
2020-02-21,76846,2254,630,4,1419.142857142857,104.14285714285714,0.029331390052832938
2020-02-22,78608,2462,1762,208,1364.7142857142858,113.42857142857143,0.03131996743334012
2020-02-23,78990,2473,382,11,1107.4285714285713,100.14285714285714,0.031307760476009625
2020-02-24,79558,2633,568,160,897.8571428571428,109.0,0.033095351818798864
2020-02-25,80412,2713,854,80,751.0,100.42857142857143,0.03373874546087648
2020-02-26,81384,2774,973,61,818.5714285714286,92.71428571428572,0.03408532389658901
2020-02-27,82728,2817,1344,43,930.4285714285713,81.0,0.03405134899912968
2020-02-28,84152,2876,1424,59,1043.857142857143,88.85714285714286,0.03417625249548436
2020-02-29,86023,2946,1871,70,1059.4285714285716,69.14285714285714,0.034246654964369995
2020-03-01,88402,3000,2379,54,1344.7142857142858,75.28571428571429,0.03393588380353386
2020-03-02,90382,3090,1980,90,1546.4285714285713,65.28571428571429,0.03418822331880242
2020-03-03,92994,3164,2612,74,1797.5714285714287,64.42857142857143,0.034023700453792716
2020-03-04,95338,3260,2344,96,1993.4285714285716,69.42857142857143,0.03419413035725524
2020-03-05,98078,3355,2740,95,2192.8571428571427,76.85714285714286,0.034207467525846774
2020-03-06,102062,3469,3984,114,2558.5714285714284,84.71428571428571,0.03398914385373596
2020-03-07,106199,3573,4137,104,2882.285714285714,89.57142857142857,0.033644384598725034
2020-03-08,109997,3815,3798,242,3085.0,116.42857142857143,0.03468276407538388
2020-03-09,114292,4009,4295,194,3415.714285714286,131.28571428571428,0.03507682077485738
2020-03-10,119051,4284,4759,275,3722.4285714285716,160.0,0.035984578037983724
2020-03-11,126527,4636,7504,352,4459.571428571428,196.57142857142858,0.0366404008630569
2020-03-12,133283,4957,6756,321,5033.285714285715,228.85714285714286,0.03719153980627687
2020-03-13,146477,5460,13194,503,6349.0,284.42857142857144,0.03727547669600006
2020-03-14,157365,5886,10888,426,7313.428571428572,330.42857142857144,0.03740348870460394
2020-03-15,168598,6557,11233,671,8375.571428571428,391.7142857142857,0.03889132729925622
